age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,age_group,race
65,Female,High School,Yes,NA,About right,Too little,About right,Too little,NA,NA,Too little,Clinton,1,NA,60-69 years old,White
60,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,60-69 years old,White
NA,NA,Less than high school,NA,Refused,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,NA,NA,White
NA,Female,High School,No,NA,Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Strongly disagree,NA,Black
NA,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,NA,White
76,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,70-79 years old,White
61,Female,Bachelors,No,"Under $10,000",NA,NA,NA,NA,Too much,Too much,About right,Clinton,2,NA,60-69 years old,Asian
71,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,2,NA,70-79 years old,Asian
75,Male,Graduate,Yes,"$170,000 or over",About right,Too little,About right,About right,NA,NA,About right,Clinton,NA,Neither,70-79 years old,White
65,Female,High School,No,"$20,000 ~ $39,999",Too little,About right,About right,About right,NA,NA,About right,Clinton,1,NA,60-69 years old,White
56,Female,Associate College,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,50-59 years old,White
31,Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,NA,Disagree,30-39 years old,Asian
55,Female,Bachelors,Yes,"$170,000 or over",Too much,Too little,Too little,Too much,NA,NA,Too little,Trump,1,NA,50-59 years old,White
33,Female,Bachelors,Yes,"Under $10,000",About right,Too little,Too much,About right,NA,NA,Too little,Clinton,1,NA,30-39 years old,Other
37,Male,Associate College,Yes,"$130,000 ~ $169,999",Too little,Too little,Too little,About right,NA,NA,Too little,Clinton,1,Strongly disagree,30-39 years old,White
53,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,50-59 years old,White
43,Female,Graduate,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Other,2,NA,40-49 years old,White
65,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,60-69 years old,White
30,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,Strongly disagree,30-39 years old,Asian
52,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,About right,Trump,1,Neither,50-59 years old,White
