nataid,natarms,natchld,natcity,natcrime,natdrug,nateduc,natenrgy,natenvir,natfare,natheal,natmass,natpark,natrace,natroad,natsci,natsoc,eqwlth,health,helpsick,helppoor,year
Too much,Too much,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too much,Too little,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,7,Excellent,Both,Both,2018
NA,Too little,NA,About right,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,NA,NA,3,NA,Both,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,Too little,Too much,5,NA,Somewhat,Somewhat,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,About right,6,Excellent,Both,NA,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too little,NA,Too much,Too little,Too little,5,Good,Yes,Both,2018
About right,Too little,Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too much,Too little,About right,Too little,About right,Too little,Too little,Too little,1,Excellent,Yes,Yes,2018
Too much,NA,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,Too much,Too much,Too little,3,NA,Somewhat,Yes,2018
NA,NA,Too much,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,About right,Too little,3,NA,Somewhat,Somewhat,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,About right,About right,NA,Excellent,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,NA,Too little,3,NA,Yes,Somewhat,2018
About right,About right,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,NA,Too little,Too little,Too little,NA,Poor,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,About right,Too little,About right,1,Excellent,Yes,Yes,2018
Too little,About right,Too little,Too little,Too much,Too little,Too little,About right,Too little,About right,Too little,Too little,Too little,Too little,Too much,About right,About right,1,NA,Both,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too little,NA,Too little,Too little,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,NA,1,NA,Somewhat,Somewhat,2018
NA,About right,NA,About right,NA,NA,Too little,NA,About right,NA,NA,About right,About right,NA,About right,About right,NA,NA,Excellent,NA,NA,2018
About right,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,Too little,2,Excellent,Somewhat,Somewhat,2018
NA,NA,NA,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,NA,Too little,3,NA,Somewhat,Somewhat,2018
Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,NA,NA,About right,Too little,NA,Excellent,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,NA,NA,NA,NA,About right,About right,NA,About right,About right,NA,2,Good,Somewhat,Somewhat,2018
About right,About right,Too little,About right,About right,About right,About right,About right,About right,About right,Too little,Too little,Too little,Too little,Too little,About right,Too little,2,NA,Somewhat,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,About right,Too little,Too little,NA,Excellent,NA,NA,2018
Too much,About right,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,About right,Too little,Too little,About right,Too little,NA,Good,NA,NA,2018
Too much,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,About right,About right,Too little,Too little,About right,Too little,1,Excellent,Yes,Yes,2018
About right,Too much,Too little,Too little,Too little,Too little,About right,Too little,NA,Too much,Too little,About right,About right,About right,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too little,NA,Too much,About right,Too little,4,Excellent,Yes,Yes,2018
About right,About right,Too much,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,About right,About right,Too little,Too little,1,NA,Yes,Both,2018
About right,About right,About right,About right,Too little,Too little,About right,About right,Too little,About right,About right,Too much,About right,Too little,Too much,Too little,About right,4,Excellent,Somewhat,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,Too little,About right,NA,Too little,Too little,About right,7,NA,NA,No,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,5,Fair,Yes,Yes,2018
About right,About right,About right,About right,About right,Too little,About right,About right,Too little,About right,Too little,Too little,About right,About right,Too little,Too little,About right,6,NA,Both,Both,2018
About right,Too much,Too little,About right,Too much,Too much,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,NA,Fair,NA,NA,2018
